app_name,store,rating,date,review_text,version,source_url
토스,sample,3,2026-01-04,[문의성] 카드 재발급은 앱에서 어디서 하나요?,1.2.0,sample_generated
토스,sample,5,2025-10-04,[긍정] 업데이트되면서 훨씬 쓰기 좋아졌어요. 추천합니다.,1.1.2,sample_generated
토스,sample,3,2025-11-11,[투자] 펀드 가입 과정이 직관적이라 좋았습니다.,1.1.0,sample_generated
카카오뱅크,sample,4,2026-01-17,[혜택] 혜택이 다양해서 좋아요. 적립 쏠쏠합니다.,1.0.0,sample_generated
토스,sample,3,2026-01-18,[문의성] 해외 결제 등록 방법이 궁금합니다.,1.0.0,sample_generated
우리WON뱅킹,sample,4,2025-12-25,[긍정] 업데이트되면서 훨씬 쓰기 좋아졌어요. 추천합니다.,1.0.0,sample_generated
KB스타뱅킹,sample,4,2026-05-17,[UX] 글씨가 작고 버튼 위치가 불편해요.,2.0.0,sample_generated
KB스타뱅킹,sample,4,2025-10-05,[혜택] 포인트 혜택은 좋은데 조건이 좀 복잡해요.,1.1.0,sample_generated
토스,sample,1,2026-03-03,[속도] 실행 속도가 느리고 자주 버벅거려요.,1.0.0,sample_generated
토스,sample,1,2025-12-17,[보안우려] 개인정보 처리 방식이 명확하지 않은 것 같아요.,1.0.0,sample_generated
우리WON뱅킹,sample,4,2026-02-25,[혜택] 이벤트 혜택 챙기는 재미가 있네요.,1.1.2,sample_generated
슈퍼SOL,sample,3,2026-02-23,[송금] 송금은 편한데 가끔 지연될 때가 있어요.,1.0.0,sample_generated
우리WON뱅킹,sample,2,2025-10-21,[보안우려] 개인정보 처리 방식이 명확하지 않은 것 같아요.,1.0.0,sample_generated
슈퍼SOL,sample,3,2026-05-18,[UX] 디자인은 깔끔한데 동선이 복잡합니다.,2.0.0,sample_generated
KB스타뱅킹,sample,2,2026-03-23,[속도] 앱이 너무 느려요. 화면 전환할 때마다 한참 기다립니다.,2.0.0,sample_generated
하나원큐,sample,2,2026-01-13,[송금] 송금은 편한데 가끔 지연될 때가 있어요.,1.1.0,sample_generated
우리WON뱅킹,sample,3,2025-11-22,[투자] 투자 메뉴가 한눈에 안 들어와요. 정리가 필요해요.,2.0.0,sample_generated
토스,sample,2,2025-11-24,[오류] 특정 화면에서 계속 오류 코드가 떠요.,1.2.0,sample_generated
카카오뱅크,sample,3,2026-01-11,[인증] 공동인증서 등록이 안 돼서 진행이 막혀요.,1.2.0,sample_generated
슈퍼SOL,sample,2,2025-10-18,[송금] 송금은 편한데 가끔 지연될 때가 있어요.,1.2.0,sample_generated
카카오뱅크,sample,4,2025-11-28,[UX] 글씨가 작고 버튼 위치가 불편해요.,2.0.0,sample_generated
슈퍼SOL,sample,1,2026-03-03,[오류] 업데이트 후 자꾸 강제 종료됩니다.,1.1.0,sample_generated
토스,sample,2,2025-11-13,[속도] 실행 속도가 느리고 자주 버벅거려요.,1.2.0,sample_generated
카카오뱅크,sample,2,2026-05-05,[UX] 메뉴가 너무 많아서 원하는 기능 찾기 어려워요.,1.1.2,sample_generated
KB스타뱅킹,sample,4,2025-10-30,[혜택] 혜택이 다양해서 좋아요. 적립 쏠쏠합니다.,1.0.0,sample_generated
우리WON뱅킹,sample,2,2026-05-02,[문의성] 이체 수수료는 어떻게 면제받나요? 안내 부탁드립니다.,2.0.0,sample_generated
KB스타뱅킹,sample,3,2025-12-22,[문의성] 해외 결제 등록 방법이 궁금합니다.,1.1.0,sample_generated
카카오뱅크,sample,2,2026-04-11,[보안우려] 비밀번호 변경 안내가 자주 와서 불안합니다.,1.2.0,sample_generated
하나원큐,sample,2,2026-04-26,[인증] 본인 인증 단계에서 계속 실패합니다. 너무 번거로워요.,1.1.2,sample_generated
KB스타뱅킹,sample,5,2025-10-15,[혜택] 이벤트 혜택 챙기는 재미가 있네요.,1.1.0,sample_generated
하나원큐,sample,3,2026-05-17,[송금] 송금 즐겨찾기 기능이 편리하네요.,1.1.2,sample_generated
카카오뱅크,sample,2,2025-12-01,[오류] 결제하다가 앱이 튕겨서 두 번 결제될 뻔했어요.,1.1.2,sample_generated
토스,sample,2,2025-11-03,[문의성] 이체 수수료는 어떻게 면제받나요? 안내 부탁드립니다.,1.2.0,sample_generated
슈퍼SOL,sample,3,2026-01-27,[UX] 디자인은 깔끔한데 동선이 복잡합니다.,1.1.0,sample_generated
토스,sample,1,2025-12-02,[오류] 특정 화면에서 계속 오류 코드가 떠요.,1.1.2,sample_generated
카카오뱅크,sample,3,2025-10-03,[문의성] 카드 재발급은 앱에서 어디서 하나요?,1.0.0,sample_generated
토스,sample,1,2025-10-07,[오류] 결제하다가 앱이 튕겨서 두 번 결제될 뻔했어요.,1.1.2,sample_generated
하나원큐,sample,3,2026-05-17,[송금] 이체 한도 설정이 헷갈려요. 안내가 더 필요합니다.,1.0.0,sample_generated
카카오뱅크,sample,1,2026-01-05,[보안우려] 개인정보 처리 방식이 명확하지 않은 것 같아요.,1.1.0,sample_generated
카카오뱅크,sample,4,2026-05-03,[긍정] 전반적으로 편리하고 만족스러워요. 잘 쓰고 있습니다.,2.0.0,sample_generated
하나원큐,sample,3,2026-01-29,[혜택] 혜택이 다양해서 좋아요. 적립 쏠쏠합니다.,1.0.0,sample_generated
하나원큐,sample,2,2026-02-25,[문의성] 카드 재발급은 앱에서 어디서 하나요?,2.0.0,sample_generated
우리WON뱅킹,sample,2,2026-05-21,[속도] 실행 속도가 느리고 자주 버벅거려요.,1.2.0,sample_generated
하나원큐,sample,1,2026-02-21,[인증] OTP 인증이 자꾸 시간 초과돼서 처음부터 다시 해야 합니다.,1.0.0,sample_generated
토스,sample,3,2026-02-09,[보안우려] 보안이 걱정돼요. 알 수 없는 접속 알림이 왔어요.,1.1.2,sample_generated
하나원큐,sample,2,2026-01-20,[로그인] 앱 켜면 로그인 화면에서 멈춰서 진입이 안 됩니다.,1.1.0,sample_generated
우리WON뱅킹,sample,1,2025-10-15,[인증] OTP 인증이 자꾸 시간 초과돼서 처음부터 다시 해야 합니다.,1.0.0,sample_generated
카카오뱅크,sample,1,2026-02-25,[인증] 공동인증서 등록이 안 돼서 진행이 막혀요.,2.0.0,sample_generated
카카오뱅크,sample,2,2026-02-05,[투자] 투자 메뉴가 한눈에 안 들어와요. 정리가 필요해요.,1.0.0,sample_generated
토스,sample,2,2025-11-30,[투자] 투자 수익률 화면이 자주 갱신이 안 돼요.,2.0.0,sample_generated
토스,sample,1,2026-02-18,[보안우려] 비밀번호 변경 안내가 자주 와서 불안합니다.,2.0.0,sample_generated
토스,sample,3,2025-12-04,[투자] 투자 메뉴가 한눈에 안 들어와요. 정리가 필요해요.,1.2.0,sample_generated
슈퍼SOL,sample,2,2025-12-08,[투자] 투자 메뉴가 한눈에 안 들어와요. 정리가 필요해요.,1.1.0,sample_generated
KB스타뱅킹,sample,3,2025-11-02,[혜택] 이벤트 혜택 챙기는 재미가 있네요.,1.0.0,sample_generated
하나원큐,sample,1,2026-02-01,[보안우려] 개인정보 처리 방식이 명확하지 않은 것 같아요.,1.2.0,sample_generated
KB스타뱅킹,sample,5,2025-10-19,[긍정] 하나의 앱으로 다 되니까 정말 편해요.,2.0.0,sample_generated
KB스타뱅킹,sample,1,2025-12-16,[보안우려] 비밀번호 변경 안내가 자주 와서 불안합니다.,1.1.2,sample_generated
토스,sample,3,2026-01-04,[로그인] 로그인이 자꾸 안 돼요. 비밀번호 맞는데 오류만 떠요.,1.1.2,sample_generated
토스,sample,4,2026-03-08,[혜택] 이벤트 혜택 챙기는 재미가 있네요.,2.0.0,sample_generated
슈퍼SOL,sample,4,2026-03-17,[혜택] 혜택이 다양해서 좋아요. 적립 쏠쏠합니다.,2.0.0,sample_generated
하나원큐,sample,2,2025-10-30,[오류] 업데이트 후 자꾸 강제 종료됩니다.,1.1.2,sample_generated
카카오뱅크,sample,5,2026-06-01,[긍정] 하나의 앱으로 다 되니까 정말 편해요.,1.2.0,sample_generated
하나원큐,sample,4,2026-01-11,[혜택] 혜택이 다양해서 좋아요. 적립 쏠쏠합니다.,1.1.2,sample_generated
슈퍼SOL,sample,3,2026-03-12,[로그인] 로그인이 자꾸 안 돼요. 비밀번호 맞는데 오류만 떠요.,1.0.0,sample_generated
카카오뱅크,sample,2,2025-10-19,[속도] 실행 속도가 느리고 자주 버벅거려요.,1.2.0,sample_generated
슈퍼SOL,sample,3,2026-01-02,[UX] 메뉴가 너무 많아서 원하는 기능 찾기 어려워요.,1.2.0,sample_generated
KB스타뱅킹,sample,3,2026-01-04,[로그인] 지문 로그인 등록했는데 매번 풀려서 다시 해야 해요.,1.1.0,sample_generated
슈퍼SOL,sample,1,2026-03-29,[인증] 본인 인증 단계에서 계속 실패합니다. 너무 번거로워요.,1.0.0,sample_generated
토스,sample,4,2026-02-14,[혜택] 포인트 혜택은 좋은데 조건이 좀 복잡해요.,2.0.0,sample_generated
하나원큐,sample,3,2026-05-20,[혜택] 포인트 혜택은 좋은데 조건이 좀 복잡해요.,1.0.0,sample_generated
하나원큐,sample,2,2026-04-17,[인증] OTP 인증이 자꾸 시간 초과돼서 처음부터 다시 해야 합니다.,1.1.2,sample_generated
KB스타뱅킹,sample,2,2026-02-28,[UX] 디자인은 깔끔한데 동선이 복잡합니다.,1.0.0,sample_generated
카카오뱅크,sample,2,2025-11-20,[문의성] 해외 결제 등록 방법이 궁금합니다.,2.0.0,sample_generated
토스,sample,2,2026-03-22,[보안우려] 보안이 걱정돼요. 알 수 없는 접속 알림이 왔어요.,1.0.0,sample_generated
슈퍼SOL,sample,3,2026-05-06,[문의성] 이체 수수료는 어떻게 면제받나요? 안내 부탁드립니다.,1.0.0,sample_generated
카카오뱅크,sample,1,2025-12-14,[오류] 업데이트 후 자꾸 강제 종료됩니다.,1.1.2,sample_generated
하나원큐,sample,1,2026-03-27,[오류] 업데이트 후 자꾸 강제 종료됩니다.,2.0.0,sample_generated
토스,sample,3,2026-01-22,[혜택] 혜택이 다양해서 좋아요. 적립 쏠쏠합니다.,1.0.0,sample_generated
카카오뱅크,sample,4,2026-03-31,[혜택] 이벤트 혜택 챙기는 재미가 있네요.,1.1.0,sample_generated
KB스타뱅킹,sample,2,2026-05-15,[오류] 특정 화면에서 계속 오류 코드가 떠요.,1.1.2,sample_generated
슈퍼SOL,sample,3,2025-11-08,[혜택] 혜택이 다양해서 좋아요. 적립 쏠쏠합니다.,1.2.0,sample_generated
슈퍼SOL,sample,2,2025-11-21,[UX] 디자인은 깔끔한데 동선이 복잡합니다.,1.1.0,sample_generated
슈퍼SOL,sample,2,2026-03-26,[투자] 투자 수익률 화면이 자주 갱신이 안 돼요.,1.0.0,sample_generated
하나원큐,sample,2,2025-11-29,[속도] 앱이 너무 느려요. 화면 전환할 때마다 한참 기다립니다.,1.1.2,sample_generated
슈퍼SOL,sample,2,2026-05-15,[로그인] 앱 켜면 로그인 화면에서 멈춰서 진입이 안 됩니다.,2.0.0,sample_generated
KB스타뱅킹,sample,2,2025-11-26,[UX] 디자인은 깔끔한데 동선이 복잡합니다.,1.0.0,sample_generated
하나원큐,sample,2,2026-05-24,[인증] OTP 인증이 자꾸 시간 초과돼서 처음부터 다시 해야 합니다.,2.0.0,sample_generated
카카오뱅크,sample,3,2026-05-28,[인증] OTP 인증이 자꾸 시간 초과돼서 처음부터 다시 해야 합니다.,1.2.0,sample_generated
우리WON뱅킹,sample,1,2026-02-04,[로그인] 지문 로그인 등록했는데 매번 풀려서 다시 해야 해요.,1.1.2,sample_generated
KB스타뱅킹,sample,4,2026-03-16,[긍정] 전반적으로 편리하고 만족스러워요. 잘 쓰고 있습니다.,1.0.0,sample_generated
토스,sample,2,2026-02-06,[인증] OTP 인증이 자꾸 시간 초과돼서 처음부터 다시 해야 합니다.,1.0.0,sample_generated
우리WON뱅킹,sample,1,2026-03-10,[속도] 조회할 때 로딩이 너무 길어요. 개선 부탁드립니다.,1.1.2,sample_generated
KB스타뱅킹,sample,2,2025-10-28,[속도] 앱이 너무 느려요. 화면 전환할 때마다 한참 기다립니다.,1.1.0,sample_generated
하나원큐,sample,2,2025-12-08,[속도] 실행 속도가 느리고 자주 버벅거려요.,1.2.0,sample_generated
KB스타뱅킹,sample,3,2026-03-01,[보안우려] 보안이 걱정돼요. 알 수 없는 접속 알림이 왔어요.,1.1.0,sample_generated
KB스타뱅킹,sample,2,2026-04-06,[오류] 업데이트 후 자꾸 강제 종료됩니다.,1.0.0,sample_generated
카카오뱅크,sample,2,2025-12-18,[보안우려] 비밀번호 변경 안내가 자주 와서 불안합니다.,1.2.0,sample_generated
토스,sample,1,2026-02-28,[인증] OTP 인증이 자꾸 시간 초과돼서 처음부터 다시 해야 합니다.,1.1.2,sample_generated
하나원큐,sample,3,2026-03-12,[문의성] 카드 재발급은 앱에서 어디서 하나요?,1.1.0,sample_generated
카카오뱅크,sample,5,2026-04-02,[긍정] 전반적으로 편리하고 만족스러워요. 잘 쓰고 있습니다.,1.1.2,sample_generated
하나원큐,sample,2,2025-12-11,[보안우려] 보안이 걱정돼요. 알 수 없는 접속 알림이 왔어요.,1.2.0,sample_generated
하나원큐,sample,1,2026-01-07,[인증] 본인 인증 단계에서 계속 실패합니다. 너무 번거로워요.,1.0.0,sample_generated
카카오뱅크,sample,3,2026-04-07,[속도] 앱이 너무 느려요. 화면 전환할 때마다 한참 기다립니다.,1.1.0,sample_generated
카카오뱅크,sample,3,2026-05-01,[송금] 이체 한도 설정이 헷갈려요. 안내가 더 필요합니다.,1.1.2,sample_generated
우리WON뱅킹,sample,4,2026-06-04,[혜택] 혜택이 다양해서 좋아요. 적립 쏠쏠합니다.,1.1.2,sample_generated
슈퍼SOL,sample,2,2026-05-18,[속도] 앱이 너무 느려요. 화면 전환할 때마다 한참 기다립니다.,2.0.0,sample_generated
카카오뱅크,sample,2,2026-03-14,[UX] 메뉴가 너무 많아서 원하는 기능 찾기 어려워요.,1.1.0,sample_generated
KB스타뱅킹,sample,1,2025-10-02,[오류] 결제하다가 앱이 튕겨서 두 번 결제될 뻔했어요.,2.0.0,sample_generated
슈퍼SOL,sample,3,2026-01-13,[UX] 디자인은 깔끔한데 동선이 복잡합니다.,1.1.0,sample_generated
우리WON뱅킹,sample,5,2026-02-19,[긍정] 업데이트되면서 훨씬 쓰기 좋아졌어요. 추천합니다.,2.0.0,sample_generated
토스,sample,2,2026-01-08,[로그인] 로그인이 자꾸 안 돼요. 비밀번호 맞는데 오류만 떠요.,1.1.2,sample_generated
카카오뱅크,sample,3,2026-06-03,[UX] 디자인은 깔끔한데 동선이 복잡합니다.,1.0.0,sample_generated
하나원큐,sample,4,2025-10-23,[혜택] 혜택이 다양해서 좋아요. 적립 쏠쏠합니다.,1.2.0,sample_generated
슈퍼SOL,sample,5,2026-05-22,[혜택] 이벤트 혜택 챙기는 재미가 있네요.,1.1.2,sample_generated
토스,sample,3,2026-02-16,[UX] 디자인은 깔끔한데 동선이 복잡합니다.,1.2.0,sample_generated
토스,sample,1,2026-04-17,[로그인] 로그인이 자꾸 안 돼요. 비밀번호 맞는데 오류만 떠요.,1.1.2,sample_generated
우리WON뱅킹,sample,1,2025-10-18,[인증] 본인 인증 단계에서 계속 실패합니다. 너무 번거로워요.,1.0.0,sample_generated
토스,sample,3,2025-12-09,[인증] 공동인증서 등록이 안 돼서 진행이 막혀요.,1.0.0,sample_generated
KB스타뱅킹,sample,2,2026-05-10,[보안우려] 비밀번호 변경 안내가 자주 와서 불안합니다.,1.2.0,sample_generated
우리WON뱅킹,sample,3,2026-04-23,[보안우려] 비밀번호 변경 안내가 자주 와서 불안합니다.,1.2.0,sample_generated
카카오뱅크,sample,1,2026-06-06,[보안우려] 보안이 걱정돼요. 알 수 없는 접속 알림이 왔어요.,2.0.0,sample_generated
KB스타뱅킹,sample,2,2026-01-10,[송금] 송금 즐겨찾기 기능이 편리하네요.,1.0.0,sample_generated
카카오뱅크,sample,3,2026-03-02,[UX] 글씨가 작고 버튼 위치가 불편해요.,1.1.2,sample_generated
우리WON뱅킹,sample,2,2025-12-14,[인증] OTP 인증이 자꾸 시간 초과돼서 처음부터 다시 해야 합니다.,1.2.0,sample_generated
KB스타뱅킹,sample,5,2026-02-06,[긍정] 하나의 앱으로 다 되니까 정말 편해요.,2.0.0,sample_generated
KB스타뱅킹,sample,3,2026-03-29,[속도] 조회할 때 로딩이 너무 길어요. 개선 부탁드립니다.,1.0.0,sample_generated
KB스타뱅킹,sample,3,2026-04-07,[송금] 송금은 편한데 가끔 지연될 때가 있어요.,1.1.0,sample_generated
토스,sample,2,2026-05-10,[보안우려] 보안이 걱정돼요. 알 수 없는 접속 알림이 왔어요.,1.2.0,sample_generated
KB스타뱅킹,sample,4,2026-06-08,[송금] 이체 한도 설정이 헷갈려요. 안내가 더 필요합니다.,1.1.2,sample_generated
카카오뱅크,sample,4,2026-02-02,[긍정] 업데이트되면서 훨씬 쓰기 좋아졌어요. 추천합니다.,1.2.0,sample_generated
카카오뱅크,sample,3,2025-10-18,[문의성] 해외 결제 등록 방법이 궁금합니다.,1.1.2,sample_generated
KB스타뱅킹,sample,3,2026-04-15,[문의성] 카드 재발급은 앱에서 어디서 하나요?,2.0.0,sample_generated
하나원큐,sample,1,2025-10-11,[오류] 특정 화면에서 계속 오류 코드가 떠요.,2.0.0,sample_generated
하나원큐,sample,5,2026-04-18,[긍정] 업데이트되면서 훨씬 쓰기 좋아졌어요. 추천합니다.,1.0.0,sample_generated
우리WON뱅킹,sample,2,2026-06-05,[송금] 이체 한도 설정이 헷갈려요. 안내가 더 필요합니다.,1.1.2,sample_generated
하나원큐,sample,3,2025-12-29,[투자] 투자 메뉴가 한눈에 안 들어와요. 정리가 필요해요.,1.0.0,sample_generated
카카오뱅크,sample,4,2025-10-12,[송금] 송금은 편한데 가끔 지연될 때가 있어요.,1.1.2,sample_generated
슈퍼SOL,sample,2,2025-10-11,[오류] 특정 화면에서 계속 오류 코드가 떠요.,1.0.0,sample_generated
카카오뱅크,sample,2,2026-06-07,[투자] 펀드 가입 과정이 직관적이라 좋았습니다.,1.1.0,sample_generated
카카오뱅크,sample,5,2025-12-11,[긍정] 전반적으로 편리하고 만족스러워요. 잘 쓰고 있습니다.,1.1.0,sample_generated
KB스타뱅킹,sample,4,2025-12-13,[UX] 글씨가 작고 버튼 위치가 불편해요.,1.1.2,sample_generated
슈퍼SOL,sample,2,2026-04-15,[로그인] 로그인이 자꾸 안 돼요. 비밀번호 맞는데 오류만 떠요.,2.0.0,sample_generated
하나원큐,sample,3,2026-03-21,[송금] 이체 한도 설정이 헷갈려요. 안내가 더 필요합니다.,2.0.0,sample_generated
슈퍼SOL,sample,3,2025-11-23,[혜택] 혜택이 다양해서 좋아요. 적립 쏠쏠합니다.,1.0.0,sample_generated
토스,sample,2,2026-04-27,[속도] 조회할 때 로딩이 너무 길어요. 개선 부탁드립니다.,1.0.0,sample_generated
KB스타뱅킹,sample,3,2026-05-05,[UX] 글씨가 작고 버튼 위치가 불편해요.,1.1.2,sample_generated
슈퍼SOL,sample,1,2026-05-21,[오류] 결제하다가 앱이 튕겨서 두 번 결제될 뻔했어요.,1.2.0,sample_generated
우리WON뱅킹,sample,4,2026-05-24,[UX] 메뉴가 너무 많아서 원하는 기능 찾기 어려워요.,1.2.0,sample_generated
슈퍼SOL,sample,2,2025-10-02,[로그인] 로그인이 자꾸 안 돼요. 비밀번호 맞는데 오류만 떠요.,2.0.0,sample_generated
하나원큐,sample,2,2026-05-09,[인증] 본인 인증 단계에서 계속 실패합니다. 너무 번거로워요.,2.0.0,sample_generated
KB스타뱅킹,sample,3,2026-05-22,[속도] 조회할 때 로딩이 너무 길어요. 개선 부탁드립니다.,1.1.2,sample_generated
카카오뱅크,sample,3,2025-12-19,[투자] 펀드 가입 과정이 직관적이라 좋았습니다.,2.0.0,sample_generated
카카오뱅크,sample,3,2025-11-23,[송금] 송금은 편한데 가끔 지연될 때가 있어요.,1.2.0,sample_generated
하나원큐,sample,3,2025-10-07,[문의성] 이체 수수료는 어떻게 면제받나요? 안내 부탁드립니다.,1.2.0,sample_generated
KB스타뱅킹,sample,5,2026-02-25,[긍정] 전반적으로 편리하고 만족스러워요. 잘 쓰고 있습니다.,2.0.0,sample_generated
카카오뱅크,sample,3,2025-11-17,[혜택] 이벤트 혜택 챙기는 재미가 있네요.,1.0.0,sample_generated
토스,sample,2,2025-12-27,[송금] 송금 즐겨찾기 기능이 편리하네요.,1.2.0,sample_generated
카카오뱅크,sample,5,2026-05-12,[긍정] 하나의 앱으로 다 되니까 정말 편해요.,1.1.2,sample_generated
카카오뱅크,sample,4,2026-05-03,[송금] 송금 즐겨찾기 기능이 편리하네요.,1.1.0,sample_generated
KB스타뱅킹,sample,1,2026-01-03,[속도] 앱이 너무 느려요. 화면 전환할 때마다 한참 기다립니다.,1.2.0,sample_generated
KB스타뱅킹,sample,3,2025-10-16,[UX] 메뉴가 너무 많아서 원하는 기능 찾기 어려워요.,1.2.0,sample_generated
우리WON뱅킹,sample,3,2025-11-13,[송금] 송금은 편한데 가끔 지연될 때가 있어요.,1.2.0,sample_generated
토스,sample,2,2025-11-15,[보안우려] 비밀번호 변경 안내가 자주 와서 불안합니다.,1.1.0,sample_generated
토스,sample,2,2026-05-17,[속도] 앱이 너무 느려요. 화면 전환할 때마다 한참 기다립니다.,1.0.0,sample_generated
토스,sample,1,2026-05-13,[로그인] 로그인이 자꾸 안 돼요. 비밀번호 맞는데 오류만 떠요.,2.0.0,sample_generated
KB스타뱅킹,sample,4,2026-04-23,[긍정] 업데이트되면서 훨씬 쓰기 좋아졌어요. 추천합니다.,1.1.2,sample_generated
하나원큐,sample,2,2025-12-23,[오류] 특정 화면에서 계속 오류 코드가 떠요.,2.0.0,sample_generated
우리WON뱅킹,sample,2,2026-04-22,[송금] 송금 즐겨찾기 기능이 편리하네요.,1.2.0,sample_generated
KB스타뱅킹,sample,3,2026-05-25,[보안우려] 보안이 걱정돼요. 알 수 없는 접속 알림이 왔어요.,1.0.0,sample_generated
KB스타뱅킹,sample,1,2025-11-11,[오류] 특정 화면에서 계속 오류 코드가 떠요.,1.2.0,sample_generated
하나원큐,sample,3,2026-01-02,[투자] 투자 수익률 화면이 자주 갱신이 안 돼요.,1.2.0,sample_generated
우리WON뱅킹,sample,3,2025-11-27,[송금] 이체 한도 설정이 헷갈려요. 안내가 더 필요합니다.,1.0.0,sample_generated
하나원큐,sample,4,2025-11-19,[투자] 투자 수익률 화면이 자주 갱신이 안 돼요.,1.2.0,sample_generated
슈퍼SOL,sample,5,2026-05-19,[긍정] 하나의 앱으로 다 되니까 정말 편해요.,1.1.0,sample_generated
토스,sample,3,2026-01-06,[로그인] 앱 켜면 로그인 화면에서 멈춰서 진입이 안 됩니다.,1.1.2,sample_generated
하나원큐,sample,4,2026-02-06,[투자] 투자 메뉴가 한눈에 안 들어와요. 정리가 필요해요.,1.1.2,sample_generated
토스,sample,1,2026-04-12,[보안우려] 비밀번호 변경 안내가 자주 와서 불안합니다.,1.1.0,sample_generated
KB스타뱅킹,sample,3,2025-12-19,[투자] 펀드 가입 과정이 직관적이라 좋았습니다.,1.1.0,sample_generated
카카오뱅크,sample,3,2026-01-12,[로그인] 앱 켜면 로그인 화면에서 멈춰서 진입이 안 됩니다.,1.2.0,sample_generated
KB스타뱅킹,sample,3,2026-03-10,[문의성] 해외 결제 등록 방법이 궁금합니다.,1.0.0,sample_generated
토스,sample,2,2026-01-08,[인증] OTP 인증이 자꾸 시간 초과돼서 처음부터 다시 해야 합니다.,1.1.0,sample_generated
슈퍼SOL,sample,2,2025-10-25,[투자] 펀드 가입 과정이 직관적이라 좋았습니다.,2.0.0,sample_generated
하나원큐,sample,1,2025-10-31,[로그인] 앱 켜면 로그인 화면에서 멈춰서 진입이 안 됩니다.,1.0.0,sample_generated
우리WON뱅킹,sample,2,2026-05-28,[보안우려] 비밀번호 변경 안내가 자주 와서 불안합니다.,1.0.0,sample_generated
슈퍼SOL,sample,4,2026-01-01,[긍정] 하나의 앱으로 다 되니까 정말 편해요.,1.0.0,sample_generated
토스,sample,2,2025-10-12,[보안우려] 보안이 걱정돼요. 알 수 없는 접속 알림이 왔어요.,1.1.0,sample_generated
KB스타뱅킹,sample,2,2026-04-07,[속도] 앱이 너무 느려요. 화면 전환할 때마다 한참 기다립니다.,1.2.0,sample_generated
하나원큐,sample,2,2026-03-02,[속도] 앱이 너무 느려요. 화면 전환할 때마다 한참 기다립니다.,1.1.0,sample_generated
토스,sample,3,2026-04-24,[투자] 펀드 가입 과정이 직관적이라 좋았습니다.,2.0.0,sample_generated
KB스타뱅킹,sample,1,2025-11-11,[오류] 업데이트 후 자꾸 강제 종료됩니다.,1.2.0,sample_generated
슈퍼SOL,sample,2,2025-11-16,[속도] 실행 속도가 느리고 자주 버벅거려요.,2.0.0,sample_generated
하나원큐,sample,4,2025-12-05,[UX] 메뉴가 너무 많아서 원하는 기능 찾기 어려워요.,1.1.2,sample_generated
슈퍼SOL,sample,3,2026-03-11,[송금] 이체 한도 설정이 헷갈려요. 안내가 더 필요합니다.,1.0.0,sample_generated
우리WON뱅킹,sample,5,2026-01-07,[긍정] 하나의 앱으로 다 되니까 정말 편해요.,2.0.0,sample_generated
슈퍼SOL,sample,4,2026-03-19,[혜택] 혜택이 다양해서 좋아요. 적립 쏠쏠합니다.,1.1.2,sample_generated
슈퍼SOL,sample,1,2026-03-02,[속도] 앱이 너무 느려요. 화면 전환할 때마다 한참 기다립니다.,1.1.0,sample_generated
KB스타뱅킹,sample,4,2026-05-23,[투자] 펀드 가입 과정이 직관적이라 좋았습니다.,1.2.0,sample_generated
슈퍼SOL,sample,5,2026-05-12,[혜택] 포인트 혜택은 좋은데 조건이 좀 복잡해요.,1.1.2,sample_generated
카카오뱅크,sample,2,2026-03-22,[투자] 투자 메뉴가 한눈에 안 들어와요. 정리가 필요해요.,1.1.2,sample_generated
